skill
python
java
c
sql
git
github
docker
kubernetes
aws
azure
gcp
linux
bash
fastapi
flask
django
streamlit
pandas
numpy
scikit-learn
machine learning
deep learning
natural language processing
nlp
transformers
llm
rest api
react
html
css
javascript
typescript
mongodb
postgresql
mysql
redis
spark
hadoop
ci/cd
github actions
unit testing
pytest
kanban
scrum
agile
sagemaker
lambda
cloud run
vertex ai
bigquery
data structures
algorithms
oop
design patterns
